Year,Survey ResponseID
2018,R_0BrMxYYMHVMOBEJ
2018,R_0exEFdj5YTDEgqB
2018,R_111J2YLIGckNIeJ
2018,R_1C8t1JAe5Wo7sSl
2018,R_1E0ZZlhukNsNc7w
2018,R_1KdlBlo1yOVwef9
2018,R_1KrGWfbBFSsqxlt
2018,R_1MPUcBEwaqGfQoa
2018,R_1MQ9xtfsmzwaDML
2018,R_1NDpAK5cXZeWOk0
2018,R_1QfRrCll2CbcTFM
2018,R_1eQnJj8K1vtPl5u
2018,R_1eY3IFJxdbNlGKz
2018,R_1gOvSHnmB0FOZ67
2018,R_1hyGhuYSTYCejtk
2018,R_1jvbQxV30XN8Ez0
2018,R_1kMSPTD9ssCD0Qg
2018,R_1luTSUbcBgaFCl6
2018,R_1n1v2rlOuRZSVHe
2018,R_1plN2AGfPYfGLdD
2018,R_1pxM7P5tV3JinW2
2018,R_1r6N3kesE63C7Fn
2018,R_1rwPbDimMLAMIjX
2018,R_20Z3XrmdVrFDp3r
2018,R_21B94A6XQ9h1HZb
2018,R_22rJF9Az75VyMxb
2018,R_24iLkLePWOZEFuA
2018,R_24zUdJ8NlmiSMK8
2018,R_2AXcJk6rRN4M33l
2018,R_2B3bueiWdZ91lDI
2018,R_2EAiqNzmPqLIqi0
2018,R_2Ehm9Yqn76kYwsA
2018,R_2TyNqXQy4tqlDRP
2018,R_2V8Ac6RCBNKviX0
2018,R_2VQG7Cq554P9Ov7
2018,R_2Yu31boRFb6mCr1
2018,R_2awplSTVkAfH3Gp
2018,R_2diGjJelIirkHCV
2018,R_2qeXZMff18m7VYW
2018,R_2rIokyDoOjDH9iR
2018,R_2tbqMx9jeyHq0EW
2018,R_2uD38dVQrhXDq31
2018,R_2uPP0QfWOUs53oX
2018,R_2wRVNkYiRVt3DWL
2018,R_2xMjaU2mfHWIU1z
2018,R_2xSi1OCICve9fY6
2018,R_2zA3rxZzRWZ8ufq
2018,R_3006iqWvyrARyM5
2018,R_31TT1wA5qLC8jaX
2018,R_322sl9lkckDZD5Y
2018,R_33CMoshOPscuZoK
2018,R_3HAe8cULrdkI2kW
2018,R_3JLAhdJnyyhPjVz
2018,R_3KCo0LEpRwKOMBe
2018,R_3KxdwpyxRTWWDqb
2018,R_3L5PlZC0jvJDclX
2018,R_3L7NpSc9nqAFvjF
2018,R_3MgMcC1lF0RiuW6
2018,R_3NX1XMFeTwLlCt1
2018,R_3Pp1HTLxoglta9u
2018,R_3dMKMqrWj3lm22L
2018,R_3fVvu75IqhUjuUO
